time	pH		Temp/°C		Cond/µS	
779		5.563		21.7		-5024	
780		5.563		21.6		-5012	
781		5.563		21.7		-5000	
782		5.563		21.7		-4987	
783		5.563		21.6		-4987	
784		5.563		21.6		-5000	
785		5.563		21.6		-5000	
786		5.563		21.7		-5024	
787		5.563		21.6		-5012	
788		5.564		21.7		-5000	
789		5.564		21.7		-5024	
790		5.564		21.7		-4987	
791		5.564		21.7		-4987	
792		5.564		21.6		-4987	
793		5.564		21.6		-5000	
794		5.564		21.7		-5012	
795		5.565		21.6		-5000	
796		5.565		21.6		-5012	
797		5.565		21.6		-4987	
798		5.565		21.6		-5000	
799		5.565		21.6		-5012	
800		5.565		21.6		-5000	
801		5.565		21.6		-5000	
802		5.565		21.6		-5000	
803		5.566		21.7		-5012	
804		5.566		21.6		-5024	
805		5.566		21.6		-5000	
806		5.566		21.6		-5000	
807		5.566		21.6		-5012	
808		5.566		21.6		-5024	
809		5.567		21.6		-5024	
810		5.567		21.6		-5012	
811		5.567		21.6		-4987	
812		5.567		21.6		-5000	
813		5.567		21.6		-5024	
814		5.567		21.6		-5012	
815		5.568		21.5		-5000	
816		5.568		21.6		-5012	
817		5.568		21.6		-5012	
818		5.568		21.6		-5024	
819		5.568		21.6		-5012	
820		5.568		21.5		-5024	
821		5.569		21.6		-5000	
822		5.569		21.6		-5012	
823		5.569		21.6		-5000	
824		5.569		21.6		-5012	
825		5.57		21.6		-5012	
826		5.57		21.6		-5012	
827		5.57		21.6		-5000	
828		5.57		21.6		-5000	
829		5.57		21.6		-5012	
830		5.571		21.6		-5024	
831		5.571		21.5		-5012	
832		5.571		21.6		-5000	
833		5.571		21.6		-5012	
834		5.571		21.6		-5012	
835		5.572		21.6		-5000	
836		5.572		21.5		-4987	
837		5.572		21.5		-5000	
838		5.572		21.6		-5012	
839		5.572		21.6		-5012	
840		5.572		21.6		-5024	
841		5.573		21.6		-5024	
842		5.573		21.5		-5000	
843		5.573		21.6		-5000	
844		5.573		21.5		-5000	
845		5.574		21.6		-5000	
846		5.574		21.6		-5012	
847		5.574		21.6		-5012	
848		5.574		21.6		-5012	
849		5.575		21.6		-5000	
850		5.575		21.6		-5024	
851		5.575		21.7		-5000	
852		5.575		21.6		-5000	
853		5.575		21.6		-5012	
854		5.576		21.6		-5012	
855		5.576		21.6		-5012	
856		5.576		21.6		-5012	
857		5.577		21.6		-5000	
858		5.577		21.6		-5000	
859		5.577		21.6		-5000	
860		5.577		21.6		-5012	
861		5.578		21.6		-5012	
862		5.578		21.6		-5012	
863		5.578		21.7		-5012	
864		5.579		21.7		-5012	
865		5.579		21.6		-5012	
866		5.579		21.6		-5012	
867		5.58		21.6		-5024	
868		5.58		21.6		-5000	
869		5.58		21.6		-5012	
870		5.58		21.7		-5024	
871		5.581		21.6		-4987	
872		5.581		21.6		-5000	
873		5.581		21.6		-5012	
874		5.581		21.6		-4987	
875		5.582		21.6		-5012	
876		5.582		21.6		-5012	
877		5.582		21.7		-4987	
878		5.582		21.6		-5012	
879		5.583		21.7		-4987	
880		5.583		21.6		-5012	
881		5.583		21.6		-5012	
882		5.583		21.7		-5024	
883		5.584		21.7		-5012	
884		5.584		21.6		-5000	
885		5.584		21.7		-5012	
886		5.585		21.6		-5012	
887		5.585		21.7		-5012	
888		5.585		21.6		-5012	
889		5.585		21.6		-5024	
890		5.586		21.7		-5012	
891		5.586		21.6		-5012	
892		5.586		21.6		-4987	
893		5.587		21.6		-5000	
894		5.587		21.6		-5012	
895		5.588		21.6		-5024	
896		5.588		21.6		-5000	
897		5.588		21.6		-5012	
898		5.588		21.7		-5000	
899		5.589		21.6		-5012	
900		5.59		21.6		-5000	
901		5.59		21.6		-5000	
902		5.59		21.6		-5000	
903		5.59		21.6		-5012	
904		5.591		21.6		-5012	
905		5.591		21.6		-5012	
906		5.591		21.6		-5012	
907		5.592		21.6		-5000	
908		5.592		21.6		-5024	
909		5.592		21.6		-5012	
910		5.592		21.6		-5024	
911		5.593		21.6		-5012	
912		5.593		21.6		-5012	
913		5.593		21.6		-5024	
914		5.594		21.6		-5000	
915		5.594		21.6		-5012	
916		5.594		21.6		-5012	
917		5.595		21.6		-5012	
918		5.595		21.6		-5012	
919		5.595		21.6		-5012	
920		5.596		21.6		-5012	
921		5.596		21.6		-5000	
922		5.597		21.6		-5024	
923		5.597		21.5		-5000	
924		5.597		21.5		-5000	
925		5.597		21.6		-5012	
